item,calorie,carbs,fat,sodium,protien,fiber,vita,vitc,iron,calcium,serving,category
samosa,202.3809524,26.19047619,7.142857143,416.6666667,5.952380952,14.28571429,11.9047619,0,9.523809524,2.380952381,100,junk
pav bhaji,107,12.03,6.03,438,2.17,10,30,20,8,4,100,junk
vegetable manchurian,98.5915493,10.56338028,5.633802817,394.3661972,2.112676056,2.816901408,21.12676056,10.56338028,2.816901408,1.408450704,100,junk
garlic bread,330,45.62,12.78,610,7.75,11,9,0,12,7,100,junk
onion bagel,259,51.15,1.6,439,10,10,0,4,33,9,100,junk
chocolate cheese cake,389,38.44,24.75,300,6.6,6,15,0,14,6,100,junk
cupcake,369,67.64,10.93,318,2.84,4,6,0,10,7,100,junk
blueberry muffins,277,48,6.5,447,5.5,10,2,2,9,6,100,junk
popcorn,500,57.2,28.1,884,9,40,0,0,15,1,100,junk
potato puff,175,25.97,7.77,457,2.03,8,0,12,4,1,100,junk
vegetable spring roll,98,11.63,4.43,324,3.1,4,2,7,5,2,100,junk
bread stuffing,176,21.8,8.42,514,3.14,4,7,0,6,3,100,junk
lasagna with meat,163,17.2,6.01,361,9.96,5,5,6,8,12,100,junk
potato bread,266,50.61,3.29,681,7.64,10,0,0,21,15,100,junk
pasta with cheese,92,16.35,1.4,180,3.68,5,3,7,6,4,100,junk
maggi,450,58.75,17.5,1187.5,8.75,10,0,0,2.5,12.5,100,junk
methi gota,328.9473684,39.47368421,15.78947368,309.6491228,0,21.05263158,0,0,15.78947368,2.631578947,100,junk
potato or cheese filled dumpling,185,28.94,4.39,251,6.6,5,4,5,10,6,100,junk
cheese sandwich,315,33.25,15.27,884,10.96,6,9,0,14,28,100,junk
